URL_ID,URL
url001,https://www.cnn.com/2024/07/26/politics/fbi-trump-interview-assassination-attempt/index.html
url002,https://www.cnn.com/2024/07/26/politics/fbi-trump-interview-assassination-attempt/index.html
url003,https://www.cnn.com/2024/07/26/politics/martin-indyk-former-ambassador-to-israel-dies/index.html
url004,https://www.cnn.com/2024/07/26/politics/trump-netanyahu-meeting-mar-a-lago/index.html
url005,https://www.cnn.com/2024/07/25/politics/harris-netanyahu-israel-hamas-ceasefire/index.html
url006,https://www.cnn.com/2024/07/20/politics/senate-race-rankings-july-2024/index.html
url007,https://www.cnn.com/2024/07/26/politics/harris-ballot-legal-obstacles-48-states/index.html
url008,https://www.cnn.com/2024/07/26/politics/barack-michelle-obama-kamala-harris-endorsement/index.html
url009,https://www.cnn.com/2024/07/26/politics/doug-emhoff-kamala-harris-2024-bid/index.html
url010,https://www.cnn.com/2024/07/25/politics/biden-oval-office-address-analysis/index.html
url011,https://www.cnn.com/2024/07/25/politics/biden-oval-office-address-analysis/index.html
url012,https://www.cnn.com/2024/07/24/politics/polling-harris-voters-color-women/index.html
url013,https://www.cnn.com/2024/07/24/politics/joe-biden-25th-amendment-what-matters/index.html
url014,https://www.cnn.com/2024/07/24/politics/vance-trump-dominance-gop/index.html
url015,https://www.cnn.com/2024/07/23/politics/netanyahu-congress-presidents-what-matters/index.html
url016,https://www.cnn.com/2024/07/23/politics/vice-presidents-kamala-harris-what-matters/index.html
url017,https://www.cnn.com/2024/06/28/politics/election-biden-presidential-race-what-matters/index.html
url018,https://www.cnn.com/2024/07/23/politics/kamala-harris-challenges-ahead-analysis/index.html
url019,https://www.cnn.com/2024/07/22/politics/election-biden-harris-what-matters/index.html
url020,https://www.cnn.com/2024/07/26/politics/video/kamala-harris-barack-michelle-obama-endorsement-president-ctm-ldn-digvid
url021,https://www.cnn.com/2024/07/26/politics/video/kamala-harris-barack-michelle-obama-endorsement-president-ctm-ldn-digvid
url022,https://www.cnn.com/2024/07/25/politics/older-democrats-biden-harris-pennsylvania/index.html
url023,https://www.cnn.com/2024/07/25/politics/older-democrats-biden-harris-pennsylvania/index.html
url024,https://www.cnn.com/2024/07/22/politics/democratic-voters-kamala-harris-excitement/index.html
